LOCATION,INDICATOR,SUBJECT,ASAB,FREQUENCY,TIME,Value,Flag Codes
BEL,EDUADULT,UPPSRY,MEN,A,2017,39.073261,
BEL,EDUADULT,UPPSRY,MEN,A,2018,40.415058,
BEL,EDUADULT,UPPSRY,MEN,A,2019,40.611317,
BEL,EDUADULT,UPPSRY,MEN,A,2020,40.329418,
BEL,EDUADULT,UPPSRY,WOMEN,A,2000,30.72747,
BEL,EDUADULT,UPPSRY,WOMEN,A,2001,30.782875,
BEL,EDUADULT,UPPSRY,WOMEN,A,2002,31.735352,
BEL,EDUADULT,UPPSRY,WOMEN,A,2003,32.244953,
BEL,EDUADULT,UPPSRY,WOMEN,A,2004,32.557869,
BEL,EDUADULT,UPPSRY,WOMEN,A,2005,33.725727,
BEL,EDUADULT,UPPSRY,WOMEN,A,2006,34.013424,
BEL,EDUADULT,UPPSRY,WOMEN,A,2007,34.089268,
BEL,EDUADULT,UPPSRY,WOMEN,A,2008,35.647694,
BEL,EDUADULT,UPPSRY,WOMEN,A,2009,35.401447,
BEL,EDUADULT,UPPSRY,WOMEN,A,2010,34.039673,
BEL,EDUADULT,UPPSRY,WOMEN,A,2011,35.071022,
BEL,EDUADULT,UPPSRY,WOMEN,A,2012,34.625221,
BEL,EDUADULT,UPPSRY,WOMEN,A,2013,35.52166,
BEL,EDUADULT,UPPSRY,WOMEN,A,2014,34.822571,
BEL,EDUADULT,UPPSRY,WOMEN,A,2015,35.67345,
BEL,EDUADULT,UPPSRY,WOMEN,A,2016,35.047768,
BEL,EDUADULT,UPPSRY,WOMEN,A,2017,34.005287,
BEL,EDUADULT,UPPSRY,WOMEN,A,2018,34.756508,
BEL,EDUADULT,UPPSRY,WOMEN,A,2019,35.415535,
BEL,EDUADULT,UPPSRY,WOMEN,A,2020,34.341011,
CAN,EDUADULT,TRY,MEN,A,2000,37.658691,
CAN,EDUADULT,TRY,MEN,A,2001,39.407799,
CAN,EDUADULT,TRY,MEN,A,2002,40.14711,
CAN,EDUADULT,TRY,MEN,A,2003,41.52314,
CAN,EDUADULT,TRY,MEN,A,2004,41.322983,
CAN,EDUADULT,TRY,MEN,A,2005,42.553192,
CAN,EDUADULT,TRY,MEN,A,2006,43.235294,
CAN,EDUADULT,TRY,MEN,A,2007,44.127518,
CAN,EDUADULT,TRY,MEN,A,2008,44.45549,
CAN,EDUADULT,TRY,MEN,A,2009,44.847889,
CAN,EDUADULT,TRY,MEN,A,2010,45.417297,
CAN,EDUADULT,TRY,MEN,A,2011,45.958946,
CAN,EDUADULT,TRY,MEN,A,2012,46.772137,
CAN,EDUADULT,TRY,MEN,A,2013,47.163643,
CAN,EDUADULT,TRY,MEN,A,2014,48.053173,
CAN,EDUADULT,TRY,MEN,A,2015,49.226135,
CAN,EDUADULT,TRY,MEN,A,2016,50.077358,
CAN,EDUADULT,TRY,MEN,A,2017,50.368702,
CAN,EDUADULT,TRY,MEN,A,2018,51.314053,
CAN,EDUADULT,TRY,MEN,A,2019,53.165829,
CAN,EDUADULT,TRY,MEN,A,2020,53.422737,
CAN,EDUADULT,TRY,WOMEN,A,2000,42.533607,
CAN,EDUADULT,TRY,WOMEN,A,2001,44.336918,
CAN,EDUADULT,TRY,WOMEN,A,2002,45.580956,
CAN,EDUADULT,TRY,WOMEN,A,2003,46.709377,
CAN,EDUADULT,TRY,WOMEN,A,2004,47.751583,
CAN,EDUADULT,TRY,WOMEN,A,2005,49.375427,
CAN,EDUADULT,TRY,WOMEN,A,2006,50.499496,
CAN,EDUADULT,TRY,WOMEN,A,2007,52.201885,
CAN,EDUADULT,TRY,WOMEN,A,2008,52.928272,
CAN,EDUADULT,TRY,WOMEN,A,2009,53.706112,
CAN,EDUADULT,TRY,WOMEN,A,2010,55.174629,
CAN,EDUADULT,TRY,WOMEN,A,2011,56.068321,
CAN,EDUADULT,TRY,WOMEN,A,2012,57.794395,
CAN,EDUADULT,TRY,WOMEN,A,2013,58.730656,
CAN,EDUADULT,TRY,WOMEN,A,2014,59.124844,
CAN,EDUADULT,TRY,WOMEN,A,2015,61.063675,
CAN,EDUADULT,TRY,WOMEN,A,2016,62.385227,
CAN,EDUADULT,TRY,WOMEN,A,2017,62.985828,
CAN,EDUADULT,TRY,WOMEN,A,2018,64.394012,
CAN,EDUADULT,TRY,WOMEN,A,2019,65.525139,
CAN,EDUADULT,TRY,WOMEN,A,2020,66.451424,
CAN,EDUADULT,UPPSRY,MEN,A,2000,42.431641,
CAN,EDUADULT,UPPSRY,MEN,A,2001,42.103996,
CAN,EDUADULT,UPPSRY,MEN,A,2002,41.867363,
CAN,EDUADULT,UPPSRY,MEN,A,2003,41.499706,
CAN,EDUADULT,UPPSRY,MEN,A,2004,42.226597,
CAN,EDUADULT,UPPSRY,MEN,A,2005,41.718143,
CAN,EDUADULT,UPPSRY,MEN,A,2006,41.572399,
CAN,EDUADULT,UPPSRY,MEN,A,2007,41.342281,
CAN,EDUADULT,UPPSRY,MEN,A,2008,41.263531,
CAN,EDUADULT,UPPSRY,MEN,A,2009,41.46767,
CAN,EDUADULT,UPPSRY,MEN,A,2010,41.546257,
CAN,EDUADULT,UPPSRY,MEN,A,2011,41.415436,
CAN,EDUADULT,UPPSRY,MEN,A,2012,40.879166,
CAN,EDUADULT,UPPSRY,MEN,A,2013,40.995361,
CAN,EDUADULT,UPPSRY,MEN,A,2014,40.611263,
CAN,EDUADULT,UPPSRY,MEN,A,2015,40.012466,
CAN,EDUADULT,UPPSRY,MEN,A,2016,39.174831,
CAN,EDUADULT,UPPSRY,MEN,A,2017,39.287178,
CAN,EDUADULT,UPPSRY,MEN,A,2018,38.883816,
CAN,EDUADULT,UPPSRY,MEN,A,2019,37.356785,
CAN,EDUADULT,UPPSRY,MEN,A,2020,37.700161,
CAN,EDUADULT,UPPSRY,WOMEN,A,2000,38.706551,
CAN,EDUADULT,UPPSRY,WOMEN,A,2001,38.124252,
CAN,EDUADULT,UPPSRY,WOMEN,A,2002,37.756306,
CAN,EDUADULT,UPPSRY,WOMEN,A,2003,37.728596,
CAN,EDUADULT,UPPSRY,WOMEN,A,2004,37.320297,
CAN,EDUADULT,UPPSRY,WOMEN,A,2005,36.713604,
CAN,EDUADULT,UPPSRY,WOMEN,A,2006,35.772816,
CAN,EDUADULT,UPPSRY,WOMEN,A,2007,35.330006,
CAN,EDUADULT,UPPSRY,WOMEN,A,2008,35.336697,
CAN,EDUADULT,UPPSRY,WOMEN,A,2009,35.034676,
CAN,EDUADULT,UPPSRY,WOMEN,A,2010,34.379688,
CAN,EDUADULT,UPPSRY,WOMEN,A,2011,33.810738,
CAN,EDUADULT,UPPSRY,WOMEN,A,2012,32.473141,
CAN,EDUADULT,UPPSRY,WOMEN,A,2013,32.183186,
CAN,EDUADULT,UPPSRY,WOMEN,A,2014,32.175446,
CAN,EDUADULT,UPPSRY,WOMEN,A,2015,30.49069,
CAN,EDUADULT,UPPSRY,WOMEN,A,2016,29.565395,
CAN,EDUADULT,UPPSRY,WOMEN,A,2017,29.595142,
CAN,EDUADULT,UPPSRY,WOMEN,A,2018,28.637413,
CAN,EDUADULT,UPPSRY,WOMEN,A,2019,27.65555,
CAN,EDUADULT,UPPSRY,WOMEN,A,2020,27.299822,
CZE,EDUADULT,TRY,MEN,A,2000,12.656393,
CZE,EDUADULT,TRY,MEN,A,2001,12.883037,
CZE,EDUADULT,TRY,MEN,A,2002,13.769989,
CZE,EDUADULT,TRY,MEN,A,2003,13.568788,
CZE,EDUADULT,TRY,MEN,A,2004,13.931434,
CZE,EDUADULT,TRY,MEN,A,2005,14.475264,
CZE,EDUADULT,TRY,MEN,A,2006,14.761487,
CZE,EDUADULT,TRY,MEN,A,2007,14.830605,
CZE,EDUADULT,TRY,MEN,A,2008,15.249544,
CZE,EDUADULT,TRY,MEN,A,2009,16.176504,
CZE,EDUADULT,TRY,MEN,A,2010,17.254253,
CZE,EDUADULT,TRY,MEN,A,2011,18.417831,
CZE,EDUADULT,TRY,MEN,A,2012,19.016911,
CZE,EDUADULT,TRY,MEN,A,2013,19.962648,
CZE,EDUADULT,TRY,MEN,A,2014,20.672594,
CZE,EDUADULT,TRY,MEN,A,2015,20.964939,
CZE,EDUADULT,TRY,MEN,A,2016,21.909687,
CZE,EDUADULT,TRY,MEN,A,2017,22.416576,
CZE,EDUADULT,TRY,MEN,A,2018,22.450584,
CZE,EDUADULT,TRY,MEN,A,2019,22.383299,
CZE,EDUADULT,TRY,MEN,A,2020,22.470652,
CZE,EDUADULT,TRY,WOMEN,A,2000,9.284236,
CZE,EDUADULT,TRY,WOMEN,A,2001,9.393425,
CZE,EDUADULT,TRY,WOMEN,A,2002,10.125204,
CZE,EDUADULT,TRY,WOMEN,A,2003,10.454591,
CZE,EDUADULT,TRY,WOMEN,A,2004,10.768107,
CZE,EDUADULT,TRY,WOMEN,A,2005,11.645926,
CZE,EDUADULT,TRY,WOMEN,A,2006,12.281507,
CZE,EDUADULT,TRY,WOMEN,A,2007,12.63084,
CZE,EDUADULT,TRY,WOMEN,A,2008,13.740888,
CZE,EDUADULT,TRY,WOMEN,A,2009,14.90211,
CZE,EDUADULT,TRY,WOMEN,A,2010,16.267406,
CZE,EDUADULT,TRY,WOMEN,A,2011,18.065575,
CZE,EDUADULT,TRY,WOMEN,A,2012,19.544611,
CZE,EDUADULT,TRY,WOMEN,A,2013,20.968353,
CZE,EDUADULT,TRY,WOMEN,A,2014,22.367245,
CZE,EDUADULT,TRY,WOMEN,A,2015,23.440073,
CZE,EDUADULT,TRY,WOMEN,A,2016,24.062445,
CZE,EDUADULT,TRY,WOMEN,A,2017,25.483604,
CZE,EDUADULT,TRY,WOMEN,A,2018,26.133144,
CZE,EDUADULT,TRY,WOMEN,A,2019,26.108458,
CZE,EDUADULT,TRY,WOMEN,A,2020,27.334427,
CZE,EDUADULT,UPPSRY,MEN,A,2000,78.327995,
CZE,EDUADULT,UPPSRY,MEN,A,2001,77.847427,
CZE,EDUADULT,UPPSRY,MEN,A,2002,78.624252,
CZE,EDUADULT,UPPSRY,MEN,A,2003,77.455849,
CZE,EDUADULT,UPPSRY,MEN,A,2004,79.378143,
CZE,EDUADULT,UPPSRY,MEN,A,2005,79.127762,
CZE,EDUADULT,UPPSRY,MEN,A,2006,78.976227,
CZE,EDUADULT,UPPSRY,MEN,A,2007,79.039024,
CZE,EDUADULT,UPPSRY,MEN,A,2008,78.870338,
CZE,EDUADULT,UPPSRY,MEN,A,2009,78.107689,
CZE,EDUADULT,UPPSRY,MEN,A,2010,77.528778,
CZE,EDUADULT,UPPSRY,MEN,A,2011,76.562912,
CZE,EDUADULT,UPPSRY,MEN,A,2012,75.807465,
CZE,EDUADULT,UPPSRY,MEN,A,2013,74.84005,
CZE,EDUADULT,UPPSRY,MEN,A,2014,74.483772,
CZE,EDUADULT,UPPSRY,MEN,A,2015,74.027802,
CZE,EDUADULT,UPPSRY,MEN,A,2016,73.080116,
CZE,EDUADULT,UPPSRY,MEN,A,2017,72.735123,
CZE,EDUADULT,UPPSRY,MEN,A,2018,72.602074,
CZE,EDUADULT,UPPSRY,MEN,A,2019,72.427505,
CZE,EDUADULT,UPPSRY,MEN,A,2020,72.291992,
CZE,EDUADULT,UPPSRY,WOMEN,A,2000,71.658012,
CZE,EDUADULT,UPPSRY,WOMEN,A,2001,72.326942,
CZE,EDUADULT,UPPSRY,WOMEN,A,2002,73.364937,
CZE,EDUADULT,UPPSRY,WOMEN,A,2003,71.394867,
CZE,EDUADULT,UPPSRY,WOMEN,A,2004,74.096954,
CZE,EDUADULT,UPPSRY,WOMEN,A,2005,74.61393,
CZE,EDUADULT,UPPSRY,WOMEN,A,2006,74.537148,
CZE,EDUADULT,UPPSRY,WOMEN,A,2007,74.557251,
CZE,EDUADULT,UPPSRY,WOMEN,A,2008,73.914314,
CZE,EDUADULT,UPPSRY,WOMEN,A,2009,73.572708,
CZE,EDUADULT,UPPSRY,WOMEN,A,2010,72.786613,
CZE,EDUADULT,UPPSRY,WOMEN,A,2011,71.573494,
CZE,EDUADULT,UPPSRY,WOMEN,A,2012,70.482307,
CZE,EDUADULT,UPPSRY,WOMEN,A,2013,69.824356,
CZE,EDUADULT,UPPSRY,WOMEN,A,2014,68.810608,
CZE,EDUADULT,UPPSRY,WOMEN,A,2015,67.837448,
CZE,EDUADULT,UPPSRY,WOMEN,A,2016,67.758606,
CZE,EDUADULT,UPPSRY,WOMEN,A,2017,66.911522,
CZE,EDUADULT,UPPSRY,WOMEN,A,2018,66.496178,
CZE,EDUADULT,UPPSRY,WOMEN,A,2019,66.546837,
CZE,EDUADULT,UPPSRY,WOMEN,A,2020,65.980049,
DNK,EDUADULT,TRY,MEN,A,2000,24.432135,
DNK,EDUADULT,TRY,MEN,A,2001,25.909626,
DNK,EDUADULT,TRY,MEN,A,2002,27.551037,
DNK,EDUADULT,TRY,MEN,A,2003,30.284622,
DNK,EDUADULT,TRY,MEN,A,2004,30.813038,
DNK,EDUADULT,TRY,MEN,A,2005,30.949152,
DNK,EDUADULT,TRY,MEN,A,2006,32.464222,
DNK,EDUADULT,TRY,MEN,A,2007,28.318111,
DNK,EDUADULT,TRY,MEN,A,2008,28.657442,
DNK,EDUADULT,TRY,MEN,A,2009,28.516291,
DNK,EDUADULT,TRY,MEN,A,2010,29.563831,
DNK,EDUADULT,TRY,MEN,A,2011,29.53162,
DNK,EDUADULT,TRY,MEN,A,2012,29.428951,
DNK,EDUADULT,TRY,MEN,A,2013,30.073727,
DNK,EDUADULT,TRY,MEN,A,2014,30.923344,
DNK,EDUADULT,TRY,MEN,A,2015,31.242083,
DNK,EDUADULT,TRY,MEN,A,2016,33.078484,
DNK,EDUADULT,TRY,MEN,A,2017,33.517536,
DNK,EDUADULT,TRY,MEN,A,2018,33.794849,
DNK,EDUADULT,TRY,MEN,A,2019,34.907452,
DNK,EDUADULT,TRY,WOMEN,A,2000,27.176115,
DNK,EDUADULT,TRY,WOMEN,A,2001,30.982752,
DNK,EDUADULT,TRY,WOMEN,A,2002,31.70907,
DNK,EDUADULT,TRY,WOMEN,A,2003,33.449036,
