edu_attain_final,,,,,,,
Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Europe,BEL,2001,NONE,MEN,39.981095,5.030156,2.011111449
Europe,BEL,2001,NONE,WOMEN,41.097521,5.256415,2.160256258
Europe,BEL,2001,TRY,MEN,27.138931,5.030156,1.365130566
Europe,BEL,2001,TRY,WOMEN,28.119604,5.256415,1.478083083
Europe,BEL,2001,UPPSRY,MEN,32.879974,5.030156,1.653913985
Europe,BEL,2001,UPPSRY,WOMEN,30.782875,5.256415,1.618075659
N America,CAN,2001,NONE,MEN,18.488205,15.3666,2.84100851
N America,CAN,2001,NONE,WOMEN,17.53883,15.654302,2.745581415
N America,CAN,2001,TRY,MEN,39.407799,15.3666,6.055638841
N America,CAN,2001,TRY,WOMEN,44.336918,15.654302,6.940635041
N America,CAN,2001,UPPSRY,MEN,42.103996,15.3666,6.469952649
N America,CAN,2001,UPPSRY,WOMEN,38.124252,15.654302,5.968085543
Europe,CHE,2001,NONE,MEN,10.455681,3.529342,0.369016741
Europe,CHE,2001,NONE,WOMEN,19.807708,3.697305,0.732351378
Europe,CHE,2001,TRY,MEN,35.070282,3.529342,1.237750192
Europe,CHE,2001,TRY,WOMEN,15.762383,3.697305,0.582783375
Europe,CHE,2001,UPPSRY,MEN,54.474037,3.529342,1.922575067
Europe,CHE,2001,UPPSRY,WOMEN,64.429909,3.697305,2.382170247
Europe,CRI,2001,NONE,MEN,68.818673,2.002061,1.377791813
Europe,CRI,2001,NONE,WOMEN,67.789856,1.951332,1.322805153
Europe,CRI,2001,TRY,MEN,18.053553,2.002061,0.361443144
Europe,CRI,2001,TRY,WOMEN,17.608408,1.951332,0.3435985
Europe,CRI,2001,UPPSRY,MEN,13.127774,2.002061,0.262826043
Europe,CRI,2001,UPPSRY,WOMEN,14.601736,1.951332,0.284928347
Europe,CZE,2001,NONE,MEN,9.269536,4.978951,0.461525655
Europe,CZE,2001,NONE,WOMEN,18.279633,5.245241,0.958810805
Europe,CZE,2001,TRY,MEN,12.883037,4.978951,0.6414401
Europe,CZE,2001,TRY,WOMEN,9.393425,5.245241,0.492707779
Europe,CZE,2001,UPPSRY,MEN,77.847427,4.978951,3.875985245
Europe,CZE,2001,UPPSRY,WOMEN,72.326942,5.245241,3.793722416
Europe,DEU,2001,NONE,MEN,13.13362,40.21561,5.281765398
Europe,DEU,2001,NONE,WOMEN,21.746897,42.134316,9.162906302
Europe,DEU,2001,TRY,MEN,28.138994,40.21561,11.31626808
Europe,DEU,2001,TRY,WOMEN,18.192644,42.134316,7.665346112
Europe,DEU,2001,UPPSRY,MEN,58.727386,40.21561,23.61757652
Europe,DEU,2001,UPPSRY,WOMEN,60.060459,42.134316,25.30606359
Europe,DNK,2001,NONE,MEN,17.842838,2.647249,0.472344351
Europe,DNK,2001,NONE,WOMEN,20.865629,2.707833,0.565006388
Europe,DNK,2001,TRY,MEN,25.909626,2.647249,0.685892315
Europe,DNK,2001,TRY,WOMEN,30.982752,2.707833,0.838961183
Europe,DNK,2001,UPPSRY,MEN,56.247536,2.647249,1.489012334
Europe,DNK,2001,UPPSRY,WOMEN,48.151619,2.707833,1.303865429
Europe,ESP,2001,NONE,MEN,58.550371,19.973044,11.69429136
Europe,ESP,2001,NONE,WOMEN,60.699774,20.793005,12.62130704
Europe,ESP,2001,TRY,MEN,24.345806,19.973044,4.862598545
Europe,ESP,2001,TRY,WOMEN,23.1574,20.793005,4.81511934
Europe,ESP,2001,UPPSRY,MEN,17.103823,19.973044,3.416154093
Europe,ESP,2001,UPPSRY,WOMEN,16.142826,20.793005,3.356578617
Europe,EST,2001,NONE,MEN,15.776632,0.646685,0.102025113
Europe,EST,2001,NONE,WOMEN,11.949463,0.74143,0.088596904
Europe,EST,2001,TRY,MEN,22.723341,0.646685,0.146948438
Europe,EST,2001,TRY,WOMEN,35.603615,0.74143,0.263975883
Europe,EST,2001,UPPSRY,MEN,61.500027,0.646685,0.39771145
Europe,EST,2001,UPPSRY,WOMEN,52.446922,0.74143,0.388857214
Europe,FRA,2001,NONE,MEN,33.496418,29.659676,9.93492905
Europe,FRA,2001,NONE,WOMEN,38.69417,31.503561,12.19004145
Europe,FRA,2001,TRY,MEN,22.476124,29.659676,6.666345556
Europe,FRA,2001,TRY,WOMEN,23.550108,31.503561,7.419122639
Europe,FRA,2001,UPPSRY,MEN,44.027458,29.659676,13.05840139
Europe,FRA,2001,UPPSRY,WOMEN,37.755722,31.503561,11.89439691
Europe,GBR,2001,NONE,MEN,31.341481,28.832264,9.036458543
Europe,GBR,2001,NONE,WOMEN,43.40062,30.280752,13.14203411
Europe,GBR,2001,TRY,MEN,26.892696,28.832264,7.753773107
Europe,GBR,2001,TRY,WOMEN,25.302448,30.280752,7.661771529
Europe,GBR,2001,UPPSRY,MEN,41.765823,28.832264,12.04203235
Europe,GBR,2001,UPPSRY,WOMEN,31.296932,30.280752,9.476946363
Europe,GRC,2001,NONE,MEN,49.781385,5.355549,2.666066467
Europe,GRC,2001,NONE,WOMEN,49.760057,5.50658,2.740077347
Europe,GRC,2001,TRY,MEN,19.751606,5.355549,1.057806938
Europe,GRC,2001,TRY,WOMEN,16.416426,5.50658,0.903983631
Europe,GRC,2001,UPPSRY,MEN,30.467009,5.355549,1.631675596
Europe,GRC,2001,UPPSRY,WOMEN,33.823517,5.50658,1.862519022
Europe,HUN,2001,NONE,MEN,25.35622,4.843999,1.228255043
Europe,HUN,2001,NONE,WOMEN,34.309168,5.343579,1.833337496
Europe,HUN,2001,TRY,MEN,13.508534,4.843999,0.654353252
Europe,HUN,2001,TRY,WOMEN,14.429396,5.343579,0.771046174
Europe,HUN,2001,UPPSRY,MEN,61.135246,4.843999,2.961390705
Europe,HUN,2001,UPPSRY,WOMEN,51.261436,5.343579,2.739195329
Europe,IRL,2001,NONE,MEN,46.703455,1.913128,0.893496875
Europe,IRL,2001,NONE,WOMEN,42.769333,1.93407,0.827188839
Europe,IRL,2001,TRY,MEN,23.044838,1.913128,0.440877248
Europe,IRL,2001,TRY,WOMEN,24.108467,1.93407,0.466274628
Europe,IRL,2001,UPPSRY,MEN,30.251707,1.913128,0.578753877
Europe,IRL,2001,UPPSRY,WOMEN,33.1222,1.93407,0.640606534
Europe,ITA,2001,NONE,MEN,56.00613,27.582304,15.44778104
